,accuracy,loss,val_accuracy,val_loss
0,0.5126963257789612,1.770662784576416,0.7964251041412354,0.7677391767501831
1,0.7152206301689148,0.9937209486961365,0.837558925151825,0.5979486703872681
2,0.7670531272888184,0.8204827308654785,0.8598459362983704,0.5101214051246643
3,0.7913799285888672,0.7214605808258057,0.8698676228523254,0.46751248836517334
4,0.8127524256706238,0.6463998556137085,0.8819085955619812,0.4285203516483307
5,0.8286462426185608,0.5891180038452148,0.8863959312438965,0.40164604783058167
6,0.8388556241989136,0.544566810131073,0.8880412578582764,0.39615023136138916
7,0.850205659866333,0.504436731338501,0.8968663811683655,0.3691122233867645
8,0.8570306897163391,0.4714606702327728,0.8972402811050415,0.3618135154247284
9,0.8659124970436096,0.4427039623260498,0.9020267724990845,0.34822067618370056
