,accuracy,loss,val_accuracy,val_loss
0,0.654244601726532,1.2660900354385376,0.8659037947654724,0.48236244916915894
1,0.8487659096717834,0.5265055298805237,0.9031485915184021,0.3361513912677765
2,0.8886125683784485,0.39081957936286926,0.9157131314277649,0.29765376448631287
3,0.9085265398025513,0.3122943043708801,0.9220701456069946,0.2804676294326782
4,0.9230553507804871,0.256849080324173,0.9251365065574646,0.27094462513923645
5,0.9348167777061462,0.21847540140151978,0.9228928089141846,0.27197057008743286
6,0.9439603686332703,0.18035714328289032,0.9282028079032898,0.27719905972480774
7,0.9500187039375305,0.15924644470214844,0.9276044964790344,0.2777652442455292
8,0.9568811058998108,0.13669191300868988,0.9264078736305237,0.29417333006858826
9,0.960919976234436,0.1199469044804573,0.9273053407669067,0.3039523959159851
