,accuracy,loss,val_accuracy,val_loss
0,0.5887434482574463,1.4964631795883179,0.8503477573394775,0.5293535590171814
1,0.7983732223510742,0.7066508531570435,0.8889387249946594,0.4123252034187317
2,0.843324601650238,0.5432350039482117,0.9052426815032959,0.3287871479988098
3,0.8697270154953003,0.4483018219470978,0.9167601466178894,0.29391950368881226
4,0.8883881568908691,0.3820824921131134,0.924014687538147,0.27277809381484985
5,0.8992520570755005,0.3391079902648926,0.9259591698646545,0.26221606135368347
6,0.9102281332015991,0.2973668873310089,0.9268566370010376,0.2556179463863373
7,0.9177823662757874,0.2664801776409149,0.9285019636154175,0.25772279500961304
8,0.9263463020324707,0.23736783862113953,0.9314187169075012,0.25241705775260925
9,0.9302917122840881,0.21807795763015747,0.9334380626678467,0.25324979424476624
